customer_id,name,address,country_id,phone,account_balance,marketing_segment,comment
135001,Customer#000135001,"xEA cCKSqsuuP kd,GghKbvfQha06R3y7kyD",22,32-957-348-8193,2493.83,AUTOMOBILE,"blithely final packages. regular, final ideas along the regular, regular foxes haggle blithely furiously regular "
135002,Customer#000135002,Snh2BYOdwuag3bu,21,31-243-526-5957,1709.19,MACHINERY,y regular packages. fluffily final deposits haggle blithely pending accounts. ironic ideas haggle? slyly i
135003,Customer#000135003,KtkLQl9ae xIk,11,21-973-425-7868,3379.97,FURNITURE, ideas affix carefully; furiously
135004,Customer#000135004,"f2eDOMnHY6RfjfOKjA7S86vmD4GZ,DYPr",2,12-957-934-8760,1132.95,MACHINERY,uffily ironic dependencies. slyly even dependencies a
135005,Customer#000135005,BLEFQZQnXj6fqpjalLTQ3t1s,9,19-905-886-4108,9489.14,FURNITURE,refully. slyly final instructi
135006,Customer#000135006,LrInjpWesSodckna6biSeqYv5xqJSb,5,15-621-374-6609,4116.57,AUTOMOBILE,ithely regular theodolites. quickly 
135007,Customer#000135007,"Esqjnw,l6GlZjUeLkhHHExvUt2gV5AJ",13,23-392-819-6347,6228.38,MACHINERY,ccording to the deposits affix deposits. furiously silent pearls wake caref
135008,Customer#000135008,K5iiMtrvcTGcyhoqrFG wd0j68onsDgEYZLE6p,3,13-295-251-8742,2330.52,MACHINERY, theodolites! pending accounts about the un
135009,Customer#000135009,GWkEfINZSIXuNa82Hof9AdfsCSUOuDhF,8,18-470-777-5693,7022.17,BUILDING,"riously along the regular, regular instructions. furiously regular packages against the care"
135010,Customer#000135010,vvRv0k02vHSot79DvCR5N6uY9C55IIXr1jpS,18,28-619-751-2595,601.00,BUILDING,the idly final asymptotes. carefully final packages along the furiously enticing pa
135011,Customer#000135011,NOCuMoJcDwhw,10,20-926-527-4668,948.42,FURNITURE,"excuses are final, ironic ideas. special packages against the blithely regular deposits boost carefully qu"
135012,Customer#000135012,kWznw0YErbSreBbIpNozKYVr2,22,32-673-438-3441,9977.24,HOUSEHOLD," slyly ironic requests. slyly regular foxes detect carefully ironic pinto beans. ironic, p"
135013,Customer#000135013,eYfuwSBkLCv0BO23c52Wmqswvt1751iyaS ,23,33-572-567-7042,1527.17,HOUSEHOLD, have to lose furiously according to the regular dependencies. furiously ironic accounts int
135014,Customer#000135014,3 oaH9CxTq2,1,11-547-388-6510,2073.29,FURNITURE, theodolites sleep carefully. carefully express accounts dazzle quickly quickly ironic packag
135015,Customer#000135015,"u1qpMlfS07UuoFO8Jl3,EM",6,16-891-468-9028,6715.97,FURNITURE,egular pinto beans. furiously ruthless deposits mold. carefully regular accounts haggle furious
135016,Customer#000135016, fcmpm 7Ei3Il2HT5DhqKCtSaEVG3GJRM1lT,10,20-223-430-5761,2377.03,MACHINERY, accounts. slyly final packages are furiously along 
135017,Customer#000135017,"BOGTMVvSSs,HofjhQ9wI7",19,29-123-259-3417,7775.20,HOUSEHOLD,"nto beans wake slyly. ironic, ironic accounts about the blithely ironic fox"
135018,Customer#000135018,TyUhcJNMuLUFWAyqyWony67WjjL268UqnYFh0khp,17,27-728-899-2643,6800.59,AUTOMOBILE,"uses solve fluffily among the silent, special dugouts. slyly"
135019,Customer#000135019,"Q,KPjGsxD1gwJCTDVmA8p",15,25-509-517-2760,5614.04,BUILDING,"n dugouts boost bold deposits. final, ironic ideas do"
135020,Customer#000135020,qUXLi3Z58QeHBnwEfAMmq3IGRK,13,23-383-264-9866,6140.99,FURNITURE,lar accounts. silent warhorses wake. quickly even deposits after the blithely bold sauternes will have to
135021,Customer#000135021,"UkiQo5MDvhETJabBFquKh,BHsEYH",1,11-569-713-4067,7602.12,FURNITURE,ays nag slowly. even foxes are quickly. quickly pending f
135022,Customer#000135022,"Vx6EmwMLM3Yel,0VO7xSEK",20,30-126-279-9701,1893.51,BUILDING,es are blithely. special foxes doubt fluffily. blithely regular packages above 
135023,Customer#000135023,U3VVCmXiAuzIxhkDDZG6OFsd7A2EzsyRwJjU,24,34-446-504-8134,-787.44,FURNITURE,"r, regular deposits solve according to the special, special "
135024,Customer#000135024,2z6en eopT3,4,14-843-435-7432,7440.47,AUTOMOBILE,re blithely. deposits detect carefully. carefully ironic grouch
135025,Customer#000135025,MknsKBFbM1vxsJqr7s4rHS,20,30-276-939-9876,1981.38,FURNITURE,ounts. fluffily pending theodolites 
135026,Customer#000135026,"R Y,Wqlk3qHdZgt mW1ksFu965AmjzT5",24,34-574-919-9324,2048.40,AUTOMOBILE,deas breach quickly about the slyly even packages. careful
135027,Customer#000135027,IuSUgPquocvwfsKWarHxNdg,18,28-394-414-5034,6405.39,HOUSEHOLD,lly. special requests wake slyly among the sly
135028,Customer#000135028,UZxM28I8jtH8,18,28-241-505-9596,7501.55,AUTOMOBILE,lly ironic deposits use after the furiously regular requests. fluffily ironic fox
135029,Customer#000135029,"0YgHNIK2o6dsWTjs,E1b5yeVvedmZO WBUU8",2,12-662-977-3847,5649.10,FURNITURE,luffily even accounts haggle slyly. express pack
135030,Customer#000135030,THmRRnjy3XDM7A4u5SsLpEX5G3RmUB2n8,24,34-227-952-1142,1441.24,HOUSEHOLD, blithely special foxes. final instructions are furiously slyly regular multipliers. slyly regular deposits aga
135031,Customer#000135031,j Lxl9v8pk2rD3kMcfH5fwvb,5,15-558-730-7189,9866.87,AUTOMOBILE,oost fluffily even notornis. 
135032,Customer#000135032,tTPIzmaiqn94pnSu2cSv,12,22-184-406-8182,5493.55,HOUSEHOLD,iously ironic packages detect blithely furiously daring foxes. special instructions across the 
135033,Customer#000135033,ZzU9AqPhGatFnkGXSaiNshCA1,15,25-655-337-3725,5119.96,FURNITURE,riously about the bold dependencies. carefu
135034,Customer#000135034,BWVQdhhR6bznHlO4bpR5Rc cfvhA,0,10-879-932-5631,7251.75,MACHINERY,lithely regular ideas? regular packages wake fluffily along the carefully even courts. pending foxes haggle 
135035,Customer#000135035,BVEOuM9n4fbW1s2q,13,23-924-211-8615,9284.12,FURNITURE,ously theodolites. furiously even requests
135036,Customer#000135036,DE2LozOY7LMbGSW6AsIpOTdHI,20,30-941-784-8249,1224.79,AUTOMOBILE,ly ruthless deposits doze tithes. 
135037,Customer#000135037,ChiFHOIbAkIf CL,9,19-910-553-9246,2063.90,AUTOMOBILE," requests are. slyly express accounts affix fluffily bold, special packages"
135038,Customer#000135038,0WW6IXi0yTgWHWEbRTiYaYpeGvya,18,28-860-316-5900,2940.70,BUILDING," affix quickly according to the pending, regular accounts. regular i"
135039,Customer#000135039,"VhleZqffRAUWjs6F,iSPtk8tAWhLO4ew",6,16-991-742-9889,-691.53,FURNITURE,ckages according to the ironically regular packages haggle across the furiously even packages. furiousl
135040,Customer#000135040,"YXLDeVhlfOSTet,qNQLldO6YcVJH4331",15,25-157-500-2723,2329.49,MACHINERY,ove the quickly regular ideas 
135041,Customer#000135041,"9m,Qn73eezW fbGfnDClddHoq",6,16-151-541-3686,774.55,HOUSEHOLD,ould nag blithely. boldly furious foxes wake slyly fluffy accounts. carefull
135042,Customer#000135042,"Xvjnvk, 1xmqGoAwdgLOpQ",18,28-667-529-3056,2728.09,AUTOMOBILE,beans; quickly bold instructions against the pending requests affix furiously along the regular accounts. enticingly
135043,Customer#000135043,"rf,et9PE1bwSSbvcM",14,24-217-866-5432,1029.05,BUILDING,are accounts. blithely special requests about
135044,Customer#000135044,z8kJrVkfEvZ8VS6Bs754W0yBri,3,13-759-105-8436,1154.92,MACHINERY," quickly bold accounts haggle. bold, ironic instructions boost quickly final in"
135045,Customer#000135045,CzkdQD0jhYN29n9oDS7,1,11-928-893-9699,4613.63,AUTOMOBILE,s. slyly even ideas integrate furiously. 
135046,Customer#000135046,tBchWGX34xsY,16,26-147-592-7822,321.81,FURNITURE,"ges. silent, final requests are ironic inst"
135047,Customer#000135047,3COmjXAfba91NGekY7sbnzPI6wSK3Gf6,9,19-906-794-3187,5543.47,BUILDING,uctions sleep special requests. accounts was closely after
135048,Customer#000135048,"FOHMsliLI,e8tz8NynRm3 ",20,30-185-702-8058,8175.83,FURNITURE,e carefully final excuses. slyly regular accounts are deposits. blithely bold instructions sleep slyly. platelet
135049,Customer#000135049,jQOQdGEKZIfRCjTndj,20,30-890-349-1016,8224.76,BUILDING,"usly unusual asymptotes are furiously pending packages. ironic, "
135050,Customer#000135050,"6Hpjphc9,QQKO6p",13,23-703-779-5861,5551.61,AUTOMOBILE,boost instructions. blithely ironic instructions wake furiously above the furiously regular somas
135051,Customer#000135051,5K bKg 4s8uL7O,8,18-243-648-1219,1871.70,FURNITURE,le above the furiously ironic deposits. furiously special ac
135052,Customer#000135052,4VT7XcAlMWmBmqpX8H nDMt3 36i0,15,25-846-937-6980,6650.89,BUILDING,"nic, express asymptotes according to the b"
135053,Customer#000135053,AscCTpE QXLtMFo,24,34-836-598-3491,8467.80,MACHINERY,"ing to the unusual, pending accounts affix "
135054,Customer#000135054, pzHaAfc4VoMeGyup7P6ZvK2wW,13,23-845-708-3741,9429.48,HOUSEHOLD,ites nag blithely bold decoys. final ideas cajole furiousl
135055,Customer#000135055,sYLlpLPkHy,15,25-330-576-2857,2316.63,HOUSEHOLD,eas play furiously closely unusual foxes. even requests use quickly. d
135056,Customer#000135056,"Ch,F,OkCeNyY3Urmug,ALFd,6",14,24-872-255-1861,4629.60,FURNITURE,"al, ironic deposits wake along the final, ironic instructions. furiously ironic pa"
135057,Customer#000135057,"s3zXCrUopdmRbp6WhDR,npT",11,21-417-166-5742,4707.14,AUTOMOBILE,n requests wake furiously. furiously special pinto beans at the foxes cajole 
135058,Customer#000135058,IJEnTNrCfbXSHXMsdjHWWCGDJlj0oYrFjSFOEBc,4,14-761-489-6718,9908.79,BUILDING,"al packages wake furiously in place of the furiously pending requests. final, regular as"
